fit,HC,p,GHSV,T,XCO2,fCO2,fH2,fCH3OH,fH2O,fCO,KfA,KfB,KfC,rCH3OH,rCO,rCO2,Tave_used,rCH3OH_pred,rCO_pred,rCO2_pred,rCH3OH_residual,rCO_residual,rCO2_residual,rCH3OH_relative_error_%,rCO_relative_error_%,rCO2_relative_error_%
GHSV_8000,2.0,7.0,8000.0,493.15,0.163,1.35563476886424,4.9607442048425,0.173677312821923,0.115440762572977,0.17620505153837,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00367396825396825,0.00150063492063492,0.00517460317460317,505.6499999999999,0.004234156520223098,0.001494718997105948,0.005728875517329046,0.0005601882662548481,-5.91592352897183e-06,0.0005542723427258761,15.24749882228267,-0.39422803292281094,10.711398034273074
GHSV_12000,3.0,3.0,12000.0,493.15,0.145,0.584213395043117,2.27159504463209,0.060739956206038,0.0730441124122807,0.0466889415700323,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00338678571428571,0.00179178571428571,0.00517857142857143,504.0195652173912,0.0033747809961847384,0.001885768927596304,0.005260549923781043,-1.2004718100971402e-05,9.398321331059397e-05,8.197849520961281e-05,-0.35445756282526597,5.245226176393538,1.583033010944247
GHSV_12000,3.0,3.0,12000.0,503.15,0.182,0.573332563848061,2.23122018467632,0.0690561634038838,0.090973330051437,0.0700902025199252,0.00343810236616845,0.00823025552201525,0.424891307866832,0.0038025,0.0026975,0.0065,504.0195652173912,0.0034708015921666776,0.00238586851588975,0.005856670108056428,-0.0003316984078333223,-0.00031163148411024987,-0.0006433298919435717,-8.723166543940101,-11.552603674151989,-9.897382952978028
GHSV_12000,3.0,4.0,12000.0,493.15,0.166,0.73425961533496,3.07312932112907,0.0917299634472368,0.0935306576731851,0.0679954689822675,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00409664285714286,0.00183192857142857,0.00592857142857143,504.0195652173912,0.0040532174152093725,0.0018911664312499395,0.005944383846459312,-4.342544193348778e-05,5.923785982136945e-05,1.581241788788188e-05,-1.0600250851199213,3.2336337095924392,0.26671548244620036
GHSV_12000,3.0,5.0,12000.0,493.15,0.181,0.868715705538209,3.91123407840525,0.119956870517219,0.105954714871159,0.0923137571136606,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00459610714285714,0.00186817857142857,0.00646428571428571,504.0195652173912,0.004678816196771411,0.0018852742650905363,0.006564090461861948,8.270905391427174e-05,1.7095693661966366e-05,9.98047475762381e-05,1.7995458187438207,0.9150995479459723,1.5439408464832425
GHSV_12000,3.0,6.0,12000.0,493.15,0.194,0.988226028194431,4.78512543407817,0.145907941000678,0.112138198926913,0.121042614370688,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00500935714285714,0.00191921428571429,0.00692857142857143,504.0195652173912,0.005264063877312283,0.0018720339362485866,0.00713609781356087,0.0002547067344551429,-4.71803494657033e-05,0.00020752638498944005,5.084619187480576,-2.458315875245989,2.9952261751053197
GHSV_12000,4.0,3.0,12000.0,493.15,0.176,0.464620515436636,2.43639272471853,0.0608890506495385,0.0713993512808168,0.042802327066142,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00339455285714286,0.00164187571428571,0.00503642857142857,504.0195652173912,0.0033421389304816064,0.0016958255182612974,0.005037964448742904,-5.241392666125366e-05,5.394980397558746e-05,1.535877314333585e-06,-1.5440598178037979,3.285864058173128,0.030495365764671954
GHSV_12000,4.0,4.0,12000.0,493.15,0.198,0.587056912008653,3.30382541970549,0.088768995364554,0.0903667823355349,0.0629940359269672,0.00452933106085853,0.00678574513977512,0.678980987327082,0.0039661875,0.00169979464285714,0.00566598214285714,504.0195652173912,0.0040223552675214165,0.001702991567386286,0.005725346834907703,5.616776752141641e-05,3.1969245291459635e-06,5.936469205056281e-05,1.4161652095725783,0.18807710346541257,1.0477387777404368
GHSV_12000,2.0,3.0,12000.0,493.15,0.108,0.767032028399514,2.00138664231351,0.0574825615102647,0.0724734195696207,0.0502452038852149,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00320914285714286,0.00193371428571429,0.00514285714285714,504.0195652173912,0.0033456290399174497,0.0021652926254832248,0.005510921665400674,0.00013648618277458963,0.00023157833976893485,0.00036806452254353403,4.253041664094225,11.975830218547138,7.156810160568722
GHSV_12000,2.0,3.0,12000.0,503.15,0.136,0.763365487092877,1.96011402712442,0.0644535376754754,0.0904543940411071,0.0755909384491479,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00355542857142857,0.0029207619047619,0.00647619047619048,504.0195652173912,0.003445081212351284,0.0027563135459257237,0.006201394758277008,-0.00011034735907728592,-0.00016444835883617625,-0.00027479571791347215,-3.103630317988596,-5.63032401128164,-4.2431691736639054
GHSV_12000,2.0,3.0,12000.0,513.15,0.157,0.760484531240439,1.93041049540889,0.0675565394251555,0.104224830928745,0.0972928622360129,0.00263416709606216,0.00990326681963732,0.270512743020095,0.0036932380952381,0.00378295238095238,0.00747619047619048,504.0195652173912,0.0035518476881870277,0.0034723131693488157,0.007024160857535843,-0.00014139040705107245,-0.00031063921160356424,-0.0004520296186546367,-3.828358838640137,-8.211554900021213,-6.046256045698959
GHSV_12000,2.0,3.0,12000.0,523.15,0.169,0.759827924442125,1.91636076287485,0.0651227001065533,0.112978211645812,0.114773540728458,0.00203610206255958,0.0118274654229372,0.175057432510542,0.00354095238095238,0.00450666666666667,0.00804761904761905,504.0195652173912,0.0036721444880699044,0.00433154686718158,0.008003691355251485,0.0001311921071175245,-0.00017511979948508973,-4.392769236756522e-05,3.7049949562506934,-3.8857943672726982,-0.5458470649224079
GHSV_12000,2.0,3.0,12000.0,533.15,0.174,0.761016977433744,1.91466672874203,0.0581909989561318,0.117808120722698,0.128984481930335,0.00158706283630095,0.0140260966989877,0.115048010476012,0.00315685714285714,0.00512885714285714,0.00828571428571429,504.0195652173912,0.003804340723756758,0.005354506335303695,0.009158847059060452,0.0006474835808996178,0.00022564919244655486,0.0008731327733461618,20.510385855268932,4.399599875009428,10.537809333488154
GHSV_12000,2.0,4.0,12000.0,493.15,0.121,0.952997856585947,2.71189037429457,0.0836044683003452,0.0912560628737352,0.0746417874784487,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00373947619047619,0.00202242857142857,0.00576190476190476,504.0195652173912,0.0040126330873136145,0.00216108821398777,0.006173721301301385,0.0002731568968374243,0.00013865964255920004,0.0004118165393966252,7.304683408149741,6.8560959095458145,7.1472291961397785
GHSV_12000,2.0,4.0,12000.0,503.15,0.151,0.954960370052755,2.64631962322273,0.0963000319344892,0.112052517179943,0.108313406500685,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00424238095238095,0.00294809523809524,0.00719047619047619,504.0195652173912,0.00413013907601373,0.002760889464203939,0.006891028540217669,-0.00011224187636722002,-0.00018720577389130105,-0.00029944765025852107,-2.645728368741297,-6.350058555511742,-4.164503745317181
GHSV_12000,2.0,4.0,12000.0,513.15,0.173,0.958023800720462,2.59734096944018,0.104898649727723,0.12797888612989,0.13417677501934,0.00263416709606216,0.00990326681963732,0.270512743020095,0.00456390476190476,0.00367419047619048,0.00823809523809524,504.0195652173912,0.00425686495602341,0.003490589075488761,0.0077474540315121704,-0.00030703980588135064,-0.00018360140070171902,-0.0004906412065830701,-6.72756820966629,-4.997057226387536,-5.955760311123971
GHSV_12000,2.0,4.0,12000.0,523.15,0.186,0.963453908363777,2.56902877457006,0.107486342295639,0.139119393738813,0.152934105142833,0.00203610206255958,0.0118274654229372,0.175057432510542,0.00463228571428571,0.00422485714285714,0.00885714285714286,504.0195652173912,0.0043988447219313245,0.004369529055641954,0.00876837377757328,-0.00023344099235438585,0.0001446719127848146,-8.876907956958079e-05,-5.039434239439655,3.424303068552455,-1.0022315435275246
GHSV_12000,2.0,4.0,12000.0,533.15,0.192,0.969923964964802,2.5601721407724,0.102906828888807,0.146384164214304,0.168994517172874,0.00158706283630095,0.0140260966989877,0.115048010476012,0.00440685714285714,0.00472685714285714,0.00914285714285715,504.0195652173912,0.00455606815770285,0.00541581727527795,0.0099718854329808,0.00014921101484570952,0.0006889601324208093,0.0008290282901236498,3.3858827279563255,14.575438004550495,9.067496923227413
GHSV_12000,2.0,5.0,12000.0,493.15,0.135,1.11088216159185,3.44049122584055,0.113211914038029,0.105341189550909,0.102786058996187,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00433928571428572,0.00208928571428571,0.00642857142857143,504.0195652173912,0.004612394815463313,0.0021441588030694314,0.006756553618532744,0.0002731091011775929,5.487308878372125e-05,0.00032798218996131414,6.29387229051242,2.6264042494772615,5.101945177175996
GHSV_12000,2.0,5.0,12000.0,503.15,0.167,1.12086099156922,3.34388195433218,0.133036353974772,0.126924945059991,0.144064488553691,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00501,0.00294238095238095,0.00795238095238095,504.0195652173912,0.004744646172883083,0.0027494650596073737,0.007494111232490457,-0.0002653538271169169,-0.0001929158927735761,-0.00045826971989049343,-5.296483575187963,-6.556455329737985,-5.762673124371476
GHSV_12000,2.0,5.0,12000.0,513.15,0.19,1.13236508921637,3.26903250640515,0.149275923395156,0.143557594215306,0.170980646483672,0.00263416709606216,0.00990326681963732,0.270512743020095,0.00553714285714286,0.00351047619047619,0.00904761904761905,504.0195652173912,0.004887547367688635,0.00348920893974461,0.008376756307433245,-0.0006495954894542256,-2.126725073158019e-05,-0.0006708627401858062,-11.731600686737814,-0.6058223892609659,-7.414798707316803
GHSV_12000,2.0,6.0,12000.0,493.15,0.149,1.24488110506353,4.18702269207353,0.145699419066094,0.113460816545592,0.131921251461408,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00500214285714286,0.00209309523809524,0.0070952380952381,504.0195652173912,0.00516221371497216,0.0021201306744441564,0.0072823443894163165,0.00016007085782929979,2.703543634891654e-05,0.00018710629417821676,3.20004570842524,1.2916486482248821,2.6370685756661407
GHSV_12000,2.0,6.0,12000.0,503.15,0.187,1.26266713236729,4.03556338449419,0.177895596484611,0.135093368881744,0.183024141461875,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00599290476190476,0.00291185714285714,0.00890476190476191,504.0195652173912,0.005294702017885648,0.002730377479339,0.008025079497224648,-0.0006982027440191121,-0.00018147966351814019,-0.0008796824075372623,-11.650489566552,-6.232437053559252,-9.878786394803475
GHSV_12000,2.0,7.0,12000.0,493.15,0.151,1.36206037086208,5.01246810829305,0.162960018408718,0.112039448571345,0.158034948970162,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00516276190476191,0.00202771428571429,0.00719047619047619,504.0195652173912,0.005708147568272447,0.0020869399024713874,0.007795087470743834,0.0005453856635105371,5.922561675709764e-05,0.0006046112802676439,10.563835279862447,2.920806800758649,8.408501248755313
