HC,p,GHSV,T,XCO2,fCO2,fH2,fCH3OH,fH2O,fCO,KfA,KfB,KfC,rCH3OH,rCO,rCO2,rCH3OH_pred,rCO_pred,rCO2_pred,rCH3OH_residual,rCO_residual,rCO2_residual,rCH3OH_relative_error_%,rCO_relative_error_%,rCO2_relative_error_%
2.0,3.0,4000.0,533.15,0.175,0.761154246830242,1.91210685984022,0.0599567921735032,0.118351868316126,0.127819887716798,0.00158706283630095,0.0140260966989877,0.115048010476012,0.00108333333333333,0.00169166666666667,0.00277777777777778,0.0024580464462877327,0.0032076881185001105,0.005665734564787844,0.0013747131129544026,0.0015160214518334404,0.0028879567870100636,126.89659504194523,89.61703163547413,103.9664443323622
2.0,4.0,4000.0,493.15,0.15,0.939680850752076,2.64336686428863,0.105341112753134,0.107063153385365,0.0916251834406177,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00156428571428571,0.000816666666666667,0.00238095238095238,0.002646424658569114,0.0014081550142406142,0.004054579672809728,0.001082138944283404,0.0005914883475739472,0.0016736272918573482,69.17783205464701,72.42714460089145,70.29234625800865
2.0,4.0,4000.0,503.15,0.183,0.943077234519084,2.55817154752984,0.129799468027121,0.128233941519794,0.11382175379073,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00189390476190476,0.00101085714285714,0.00290476190476191,0.0026879379242357314,0.0017512474736628774,0.004439185397898609,0.0007940331623309713,0.0007403903308057375,0.001534423493136699,41.92571761276882,73.24381452289678,52.82441533749282
2.0,4.0,4000.0,513.15,0.194,0.953666149548263,2.52939593258282,0.135683868278811,0.138712810027301,0.125307360641759,0.00263416709606216,0.00990326681963732,0.270512743020095,0.00195539682539683,0.00112088888888889,0.00307936507936508,0.0027783817445431857,0.00216707387177685,0.004945455616320036,0.0008229849191463555,0.0010461849828879602,0.0018660905369549561,42.08787231611354,93.33529783893371,60.599847334104226
2.0,4.0,4000.0,523.15,0.195,0.964515318090775,2.53278572712501,0.127249503178423,0.144147941798817,0.13998573360145,0.00203610206255958,0.0118274654229372,0.175057432510542,0.00182,0.00127214285714286,0.0030952380952381,0.0029037233876850594,0.002668100906361711,0.005571824294046771,0.0010837233876850594,0.001395958049218851,0.0024765861988086707,59.545241081596664,109.73280566571518,80.01278488458769
2.0,4.0,4000.0,533.15,0.195,0.972010113502497,2.54383189741409,0.113247919454479,0.14837401080663,0.159787957188792,0.00158706283630095,0.0140260966989877,0.115048010476012,0.00161261904761905,0.00147952380952381,0.0030952380952381,0.0030422577600312307,0.003264488555843028,0.006306746315874259,0.0014296387124121807,0.0017849647463192182,0.003211508220636159,88.65322002260667,120.6445435233459,103.7564194359373
2.0,5.0,4000.0,493.15,0.172,1.09565208038083,3.31607998281118,0.153064798921119,0.122244959671217,0.117403181020848,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00195206349206349,0.000778095238095238,0.00273015873015873,0.0031758959645605063,0.0014416796139677043,0.00461757557852821,0.0012238324724970163,0.0006635843758724663,0.0018874168483694804,62.69429644439105,85.28318172167562,69.13212874841702
2.0,5.0,4000.0,503.15,0.2,1.1108292879653,3.21376186438236,0.181028849196974,0.140220550170871,0.137106395320809,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00226666666666667,0.000907936507936508,0.00317460317460317,0.003219910386830822,0.0017893229631936979,0.00500923335002452,0.0009532437201641522,0.0008813864552571899,0.00183463017542135,42.054870007241945,97.07578091119399,57.790850525772605
2.0,6.0,4000.0,493.15,0.175,1.23473465176759,4.07551673792331,0.178516701087429,0.12262818799456,0.14048335987893,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00204722222222222,0.000730555555555556,0.00277777777777778,0.003773207627701379,0.0014798837447050478,0.0052530913724064265,0.0017259854054791591,0.0007493281891494918,0.0024753135946286465,84.30864938568494,102.56963805848551,89.1112894066312
2.0,7.0,4000.0,493.15,0.181,1.35152023365241,4.8541209747411,0.205630533702512,0.119576159105776,0.1639562734798,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00218636507936508,0.000686650793650794,0.00287301587301587,0.004382148023642253,0.001516976116550239,0.005899124140192492,0.002195782944277173,0.0008303253228994451,0.0030261082671766215,100.4307544518058,120.92395881242058,105.32863029399302
2.0,3.0,8000.0,493.15,0.12,0.760434034903676,1.9849181972499,0.0607727398573452,0.0791297038851,0.0605525866431236,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00225904761904762,0.00155047619047619,0.00380952380952381,0.0021136448978635357,0.0013726008856557313,0.003486245783519267,-0.00014540272118408444,-0.00017787530482045867,-0.0003232780260045429,-6.4364610979464,-11.472301600828112,-8.48604818261925
2.0,3.0,8000.0,503.15,0.148,0.756729911028551,1.94277575301882,0.0684587092128317,0.0967940005002002,0.0850373942873899,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00251365079365079,0.00218476190476191,0.0046984126984127,0.002177636482231877,0.0017155534142617695,0.0038931898964936467,-0.00033601431141891316,-0.0004692084905001403,-0.0008052228019190533,-13.367581219620838,-21.476413035097917,-17.138188013817683
